trial,circuit_type,S_subsystem,p_log,log_p_log,duration,n_measurements,is_measurement_heavy
204,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
205,measurement,0.0582707661654179,0.081,-2.513306124309698,16.5,6,1
206,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
207,measurement,0.0582707661654179,0.081,-2.513306124309698,16.5,6,1
208,unitary,0.0832827573454954,0.031,-3.473768074496991,6.099999999999999,2,0
209,measurement,0.0582707661654179,0.097,-2.333044300478754,16.5,6,1
210,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
211,measurement,0.0582707661654179,0.092,-2.385966701933097,16.5,6,1
212,unitary,0.0832827573454954,0.033,-3.4112477175156566,6.099999999999999,2,0
213,measurement,0.0582707661654179,0.099,-2.312635428847547,16.5,6,1
214,unitary,0.0832827573454954,0.052,-2.9565115604007097,6.099999999999999,2,0
215,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
216,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
217,measurement,0.0582707661654179,0.083,-2.488914671185539,16.5,6,1
218,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
219,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
220,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
221,measurement,0.0582707661654179,0.104,-2.2633643798407643,16.5,6,1
222,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
223,measurement,0.0582707661654179,0.083,-2.488914671185539,16.5,6,1
224,unitary,0.0832827573454954,0.03,-3.506557897319982,6.099999999999999,2,0
225,measurement,0.0582707661654179,0.117,-2.145581344184381,16.5,6,1
226,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
227,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
228,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
229,measurement,0.0582707661654179,0.107,-2.234926444520231,16.5,6,1
230,unitary,0.0832827573454954,0.041,-3.1941832122778293,6.099999999999999,2,0
231,measurement,0.0582707661654179,0.08,-2.5257286443082556,16.5,6,1
232,unitary,0.0832827573454954,0.048,-3.036554268074246,6.099999999999999,2,0
233,measurement,0.0582707661654179,0.102,-2.282782465697866,16.5,6,1
234,unitary,0.0832827573454954,0.02,-3.912023005428146,6.099999999999999,2,0
235,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
236,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
237,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
238,unitary,0.0832827573454954,0.032,-3.4420193761824103,6.099999999999999,2,0
239,measurement,0.0582707661654179,0.096,-2.3434070875143007,16.5,6,1
240,unitary,0.0832827573454954,0.032,-3.4420193761824103,6.099999999999999,2,0
241,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
242,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
243,measurement,0.0582707661654179,0.102,-2.282782465697866,16.5,6,1
244,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
245,measurement,0.0582707661654179,0.08,-2.5257286443082556,16.5,6,1
246,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
247,measurement,0.0582707661654179,0.082,-2.501036031717884,16.5,6,1
248,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
249,measurement,0.0582707661654179,0.085,-2.4651040224918206,16.5,6,1
250,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
251,measurement,0.0582707661654179,0.102,-2.282782465697866,16.5,6,1
252,unitary,0.0832827573454954,0.033,-3.4112477175156566,6.099999999999999,2,0
253,measurement,0.0582707661654179,0.09,-2.4079456086518722,16.5,6,1
254,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
255,measurement,0.0582707661654179,0.091,-2.396895772465287,16.5,6,1
256,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
257,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
258,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
259,measurement,0.0582707661654179,0.086,-2.4534079827286295,16.5,6,1
260,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
261,measurement,0.0582707661654179,0.094,-2.364460496712133,16.5,6,1
262,unitary,0.0832827573454954,0.031,-3.473768074496991,6.099999999999999,2,0
263,measurement,0.0582707661654179,0.096,-2.3434070875143007,16.5,6,1
264,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
265,measurement,0.0582707661654179,0.111,-2.198225077669803,16.5,6,1
266,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
267,measurement,0.0582707661654179,0.086,-2.4534079827286295,16.5,6,1
268,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
269,measurement,0.0582707661654179,0.084,-2.4769384801388235,16.5,6,1
270,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
271,measurement,0.0582707661654179,0.112,-2.1892564076870427,16.5,6,1
272,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
273,measurement,0.0993634558013381,0.094,-2.364460496712133,16.5,6,1
274,unitary,0.0832827573454954,0.051,-2.9759296462578115,6.099999999999999,2,0
275,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
276,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
277,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
278,unitary,0.0832827573454954,0.032,-3.4420193761824103,6.099999999999999,2,0
279,measurement,0.0582707661654179,0.086,-2.4534079827286295,16.5,6,1
280,unitary,0.0832827573454954,0.029,-3.540459448995663,6.099999999999999,2,0
281,measurement,0.0582707661654179,0.089,-2.419118909249997,16.5,6,1
282,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
283,measurement,0.0582707661654179,0.079,-2.5383074265151158,16.5,6,1
284,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
285,measurement,0.0582707661654179,0.091,-2.396895772465287,16.5,6,1
286,unitary,0.0832827573454954,0.031,-3.473768074496991,6.099999999999999,2,0
287,measurement,0.0582707661654179,0.097,-2.333044300478754,16.5,6,1
288,unitary,0.0832827573454954,0.05,-2.995732273553991,6.099999999999999,2,0
289,measurement,0.0582707661654179,0.092,-2.385966701933097,16.5,6,1
290,unitary,0.0832827573454954,0.052,-2.9565115604007097,6.099999999999999,2,0
291,measurement,0.0582707661654179,0.083,-2.488914671185539,16.5,6,1
292,unitary,0.0832827573454954,0.041,-3.1941832122778293,6.099999999999999,2,0
293,measurement,0.0582707661654179,0.091,-2.396895772465287,16.5,6,1
294,unitary,0.0832827573454954,0.046,-3.079113882493042,6.099999999999999,2,0
295,measurement,0.0993634558013381,0.077,-2.563949857128453,16.5,6,1
296,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
297,measurement,0.0582707661654179,0.098,-2.322787800311565,16.5,6,1
298,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
299,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
300,unitary,0.0832827573454954,0.053,-2.9374633654300153,6.099999999999999,2,0
301,measurement,0.0582707661654179,0.103,-2.2730262907525014,16.5,6,1
