trial,entropy_type,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count
102,low,1.110223024625156e-15,0.738,-0.30381145438166457,3.9499999999999993,5,11
103,high,0.6931471805599454,0.059,-2.8302178350764176,4.45,5,11
104,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
105,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
106,low,1.110223024625156e-15,0.756,-0.27971390280260405,3.9499999999999993,5,11
107,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
108,low,1.110223024625156e-15,0.774,-0.2561834053924099,3.9499999999999993,5,11
109,high,0.6931471805599454,0.056,-2.8824035882469876,4.45,5,11
110,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
111,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
112,low,1.110223024625156e-15,0.729,-0.31608154697347896,3.9499999999999993,5,11
113,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
114,low,1.110223024625156e-15,0.763,-0.27049724769768,3.9499999999999993,5,11
115,high,0.6931471805599454,0.055,-2.900422093749666,4.45,5,11
116,low,1.110223024625156e-15,0.75,-0.2876820724517809,3.9499999999999993,5,11
117,high,0.6931471805599454,0.051,-2.9759296462578115,4.45,5,11
118,low,1.110223024625156e-15,0.758,-0.2770718933397654,3.9499999999999993,5,11
119,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
120,low,1.110223024625156e-15,0.755,-0.28103752973311236,3.9499999999999993,5,11
121,high,0.6931471805599454,0.029,-3.540459448995663,4.45,5,11
122,low,1.110223024625156e-15,0.769,-0.26266430947649305,3.9499999999999993,5,11
123,high,0.6931471805599454,0.057,-2.864704011147587,4.45,5,11
124,low,1.110223024625156e-15,0.764,-0.2691874898156165,3.9499999999999993,5,11
125,high,0.6931471805599454,0.054,-2.9187712324178627,4.45,5,11
126,low,1.110223024625156e-15,0.755,-0.28103752973311236,3.9499999999999993,5,11
127,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
128,low,1.110223024625156e-15,0.768,-0.26396554583446485,3.9499999999999993,5,11
129,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
130,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
131,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
132,low,1.110223024625156e-15,0.77,-0.2613647641344075,3.9499999999999993,5,11
133,high,0.6931471805599454,0.051,-2.9759296462578115,4.45,5,11
134,low,1.110223024625156e-15,0.766,-0.26657310924154576,3.9499999999999993,5,11
135,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
136,low,1.110223024625156e-15,0.736,-0.3065251602532608,3.9499999999999993,5,11
137,high,0.6931471805599454,0.053,-2.9374633654300153,4.45,5,11
138,low,1.110223024625156e-15,0.781,-0.24718012914245105,3.9499999999999993,5,11
139,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
140,low,1.110223024625156e-15,0.757,-0.2783920255446883,3.9499999999999993,5,11
141,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
142,low,1.110223024625156e-15,0.736,-0.3065251602532608,3.9499999999999993,5,11
143,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
144,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
145,high,0.6931471805599454,0.035,-3.3524072174927233,4.45,5,11
146,low,1.110223024625156e-15,0.761,-0.2731219211204512,3.9499999999999993,5,11
147,high,0.6931471805599454,0.051,-2.9759296462578115,4.45,5,11
148,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
149,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
150,low,1.110223024625156e-15,0.75,-0.2876820724517809,3.9499999999999993,5,11
151,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
152,low,1.110223024625156e-15,0.738,-0.30381145438166457,3.9499999999999993,5,11
153,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
154,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
155,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
156,low,1.110223024625156e-15,0.722,-0.32573014008931084,3.9499999999999993,5,11
157,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
158,low,1.110223024625156e-15,0.769,-0.26266430947649305,3.9499999999999993,5,11
159,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
160,low,1.110223024625156e-15,0.731,-0.3133418192323586,3.9499999999999993,5,11
161,high,0.6931471805599454,0.058,-2.8473122684357177,4.45,5,11
162,low,1.110223024625156e-15,0.745,-0.29437106060257756,3.9499999999999993,5,11
163,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
164,low,1.110223024625156e-15,0.731,-0.3133418192323586,3.9499999999999993,5,11
165,high,0.6931471805599454,0.058,-2.8473122684357177,4.45,5,11
166,low,1.110223024625156e-15,0.747,-0.29169009384931976,3.9499999999999993,5,11
