trial,T1,T2,error_1q,error_2q,p_phys,S_in,S_out,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count,log_p_phys
274,67.87595130959319,30.117050522860023,0.0039199639204770915,0.018156137699169777,0.018156137699169777,0.0,0.12323051545799855,0.12323051545799855,0.053,-2.9374633654300153,3.8,5,8,-4.008746610192742
275,54.1744817838038,52.895379463240005,0.004430550836320786,0.046459861876565436,0.04645986187656544,0.0,0.24449565847052157,0.24449565847052157,0.162,-1.820158943749753,3.8,5,8,-3.069166524598115
276,198.59312025488293,31.81525298122216,0.002041585892623028,0.038153685309500474,0.038153685309500474,0.0,0.21319470058281398,0.21319470058281398,0.118,-2.137070654516472,3.8,5,8,-3.266132925406047
277,131.22487616577317,30.945291405338928,0.004097582312454027,0.011997588019996373,0.011997588019996374,0.0,0.08927406455640499,0.08927406455640499,0.039,-3.2441936328524905,3.8,5,8,-4.423049647730645
278,68.19014839820508,42.84928665504458,0.003005405680724345,0.02942422418405275,0.029424224184052754,0.0,0.17689939536482643,0.17689939536482643,0.104,-2.2633643798407643,3.8,5,8,-3.525936992060944
279,56.7610693649261,51.33494345797915,0.0014014402086846597,0.007346231142857405,0.007346231142857405,0.0,0.060271311363030565,0.060271311363030565,0.025,-3.6888794541139363,3.8,5,8,-4.913567866947987
280,171.41533256022817,94.0371679704934,0.004324425324600708,0.04066628766151903,0.04066628766151903,0.0,0.22296578345737905,0.22296578345737905,0.119,-2.1286317858706076,3.8,5,8,-3.202355842759132
281,124.01236375758972,53.65240477824348,0.0005262351235659097,0.021014207440464238,0.021014207440464238,0.0,0.1377312772458107,0.1377312772458107,0.051,-2.9759296462578115,3.8,5,8,-3.8625565252279563
282,83.82061629045232,34.23083259933259,0.003644758557074066,0.02529791101885977,0.02529791101885977,0.0,0.15827353641438408,0.15827353641438408,0.089,-2.419118909249997,3.8,5,8,-3.6770334550821375
283,55.94543929704484,29.851456559902918,0.00344796794193202,0.004730412115024709,0.004730412115024709,0.0,0.04201580548865671,0.04201580548865671,0.019,-3.9633162998156966,3.8,5,8,-5.353742952361511
284,162.72250887209427,49.66471211907496,0.002454874228900575,0.030027981448316365,0.030027981448316365,0.0,0.1795389552841298,0.1795389552841298,0.101,-2.2926347621408776,3.8,5,8,-3.505625617084401
285,156.84743451593906,40.48946304479853,0.003422279147539411,0.028720866235793764,0.028720866235793768,0.0,0.1737978262378617,0.1737978262378617,0.078,-2.551046452292545,3.8,5,8,-3.550131373843528
286,72.3997459656383,63.63392768527363,0.004007387505873948,0.03326413989826285,0.03326413989826285,0.0,0.19334436376527533,0.19334436376527533,0.119,-2.1286317858706076,3.8,5,8,-3.403275342179591
287,162.58153993654847,83.19613439013516,0.00357097858590367,0.042013653089819934,0.042013653089819934,0.0,0.22809372362570227,0.22809372362570227,0.134,-2.0099154790312257,3.8,5,8,-3.169760639956592
288,131.4890738775741,64.18381919879708,0.0031311957532544027,0.037883115338324426,0.037883115338324426,0.0,0.21212578356815603,0.21212578356815603,0.128,-2.05572501506252,3.8,5,8,-3.2732497717459608
289,62.29594706499793,55.875663318609696,0.0043720332859516365,0.0024331168686933984,0.0024331168686933984,0.0,0.024079278946180623,0.024079278946180623,0.011,-4.509860006183766,3.8,5,8,-6.018582181524112
290,157.09459032209918,29.890102199137907,0.0017420823858697954,0.037431904558288785,0.037431904558288785,0.0,0.21033580266865465,0.21033580266865465,0.124,-2.0874737133771,3.8,5,8,-3.2852318751572924
291,62.48231413227774,52.886067611192495,0.004177457471992936,0.025865918954280975,0.025865918954280975,0.0,0.16090109582768047,0.16090109582768047,0.079,-2.5383074265151158,3.8,5,8,-3.6548290472855354
292,50.444599948506884,30.580928391833442,0.0031229419000411364,0.049078122723343755,0.049078122723343755,0.0,0.25380264634504307,0.25380264634504307,0.145,-1.9310215365615626,3.8,5,8,-3.014341909191575
293,120.04930521784107,35.83912107740792,0.0032066279451880954,0.02745928360607692,0.027459283606076922,0.0,0.16816101896545127,0.16816101896545127,0.086,-2.4534079827286295,3.8,5,8,-3.595050967617844
294,147.39532742275753,28.996713072147873,0.003829036722259937,0.027522062355129405,0.0275220623551294,0.0,0.16844380093400044,0.16844380093400044,0.088,-2.430418464503931,3.8,5,8,-3.59276732849488
295,189.99797043481615,40.15758266115412,0.0031998472763563454,0.04666937716999086,0.04666937716999086,0.0,0.24524970088666243,0.24524970088666243,0.154,-1.870802676568508,3.8,5,8,-3.064667064513559
296,57.63509459343976,54.69112189043735,0.003470640039273985,0.004324015896153423,0.004324015896153423,0.0,0.03900124488623901,0.03900124488623901,0.011,-4.509860006183766,3.8,5,8,-5.443570702950734
297,75.88712972549041,54.883336112504495,0.0004300179471969813,0.02952635254863739,0.02952635254863739,0.0,0.17734735694074302,0.17734735694074302,0.084,-2.4769384801388235,3.8,5,8,-3.5224721076638925
298,80.76298360767406,51.77917315345322,0.000324135965681313,0.04370530350146644,0.04370530350146643,0.0,0.2344261381124508,0.2344261381124508,0.156,-1.8578992717326,3.8,5,8,-3.1302858226546935
299,192.7830134940737,95.77730261938747,0.003773293975540331,0.007374225766400967,0.007374225766400966,0.0,0.060457609156507455,0.060457609156507455,0.021,-3.863232841258714,3.8,5,8,-4.909764363094114
300,143.05068359369247,25.866806088150692,0.00020840540249208653,0.01685690073832752,0.01685690073832752,0.0,0.11639910097572685,0.11639910097572685,0.051,-2.9759296462578115,3.8,5,8,-4.082995166655505
